year,word,frequency
0,ኢየሱስ,5551
0,እኔ,1553
0,እግዚአብሄር,1091
0,አለ,719
0,እርሱ,690
0,ክብር,574
0,ምሥጋና,569
0,ሰው,550
0,አምላኬ,523
0,ዛሬ,474
0,ፍቅር,465
0,አንተን,428
0,ገና,415
0,አምላክ,413
0,ብዙ,389
0,ማነ,381
0,በላይ,381
0,እኛ,320
0,ፊት,317
0,ልቤ,315
0,አለኝ,301
0,ቃል,297
0,ምድር,293
0,ደስ,293
0,ክበር,282
0,ህይወት,280
0,ሆነ,279
0,ምህረት,262
0,ዘለዓለም,261
0,ነፍሴ,244
0,ድል,240
0,ሃሌሉያ,234
0,ለአንተ,227
0,ሰማይ,222
0,ቀን,222
0,ህይወቴ,215
0,ጠላት,210
0,ጋር,206
0,አሜን,205
0,ሞት,203
0,ዓለም,203
0,ጊዜ,200
0,ተመስገን,195
0,ምህረቱ,192
0,ጌታን,190
0,እንዲ,183
0,ተስፋ,181
0,ይህን,179
0,ሁሉን,177
0,ጋራ,176
0,ውለታ,175
0,ደስታ,172
0,እውነት,169
0,ከፍ,166
0,ሥም,162
0,ቅዱስ,160
0,ወይ,159
0,አንድ,154
0,ገናና,154
0,ድንቅ,152
0,ንጉሥ,150
0,ዘመን,150
0,ተባረክ,148
0,ዝም,148
0,ሆኖ,147
0,ከቶ,147
0,ውስጥ,147
0,ነውና,146
0,ቤት,143
0,ስም,142
0,ኃይል,141
0,አቤቱ,141
0,እጅግ,141
0,መንገድ,140
0,እኮ,140
0,ሰላም,138
0,ማንም,136
0,ዘላለም,134
0,ዝማሬ,134
0,ልጅ,133
0,ቀር,132
0,ይሄ,131
0,ሁሌ,130
0,ስራ,130
0,መከራ,128
0,ወዳጅ,128
0,ታላቅ,127
0,አባቴ,126
0,ደግሞ,125
0,ጠላቴ,125
0,ሁልግዜ,123
0,ምንም,123
0,ያለው,123
0,እንኳ,120
0,ብርቱ,118
0,ምሥጋናዬ,116
0,በዛ,116
0,ታማኝ,116
0,አባት,116
